NOC,Team,Games,Year,GDP,Population,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,Summer,Home_Field_Adv,Golds,Silvers,Bronzes,Total Medals
CAF,Central African Republic,2012 Summer,2012,2.512,4.436,2,4,1.0,24.0,171.5,60.5,1,0,0,0,0,0
CAM,Cambodia,2012 Summer,2012,14.057,14.561,4,6,1.0,21.0,169.5,60.0,1,0,0,0,0,0
CAN,Canada,2012 Summer,2012,1828.36,34.665,28,179,1.525,25.0,175.0,68.0,1,0,1,21,33,55
CHA,Chad,2012 Summer,2012,12.411,12.785,2,2,1.0,18.0,170.0,65.0,1,0,0,0,0,0
CHI,Chile,2012 Summer,2012,267.021,17.443,17,36,0.972,26.0,173.5,65.0,1,0,0,0,0,0
CHN,China,2012 Summer,2012,8539.47,1354.04,29,206,1.772,24.0,175.0,69.0,1,0,56,40,29,125
CIV,Cote d'Ivoire,2012 Summer,2012,37.03,21.954,6,10,0.9,24.0,170.5,63.5,1,0,0,0,0,0
CMR,Cameroon,2012 Summer,2012,29.121,21.485,9,15,2.067,24.0,169.0,65.0,1,0,0,0,0,0
COD,Congo (Kinshasa),2012 Summer,2012,29.35,70.291,3,4,1.0,23.5,175.5,90.0,1,0,0,0,0,0
COL,Colombia,2012 Summer,2012,370.692,46.582,19,76,1.303,24.0,170.0,61.0,1,0,1,3,4,8
COM,Comoros,2012 Summer,2012,1.016,0.724,2,3,1.0,22.0,161.0,50.0,1,0,0,0,0,0
CPV,Cape Verde,2012 Summer,2012,1.742,0.514,2,3,1.0,25.0,178.0,70.0,1,0,0,0,0,0
CRC,Costa Rica,2012 Summer,2012,47.231,4.673,6,11,1.0,26.0,175.0,65.0,1,0,0,0,0,0
CRO,Croatia,2012 Summer,2012,56.581,4.268,16,52,2.0,26.0,183.0,82.0,1,0,15,4,15,34
CYP,Cyprus,2012 Summer,2012,24.993,0.862,7,12,1.083,26.0,179.0,74.0,1,0,0,1,0,1
CZE,Czech Republic,2012 Summer,2012,208.858,10.505,21,99,1.343,26.0,179.0,72.0,1,0,4,4,6,14
DEN,Denmark,2012 Summer,2012,327.149,5.581,16,68,1.662,27.0,182.0,73.0,1,0,3,5,8,16
DJI,Djibouti,2012 Summer,2012,1.9,0.889,1,2,1.0,21.0,173.5,61.5,1,0,0,0,0,0
DMA,Dominica,2012 Summer,2012,0.486,0.069,1,2,1.0,21.5,174.0,61.5,1,0,0,0,0,0
DOM,Dominican Republic,2012 Summer,2012,60.747,9.681,9,18,1.667,24.0,178.0,64.0,1,0,1,1,0,2
ECU,Ecuador,2012 Summer,2012,87.925,15.521,11,34,1.059,24.0,170.0,64.5,1,0,0,0,0,0
EGY,Egypt,2012 Summer,2012,278.769,82.5,21,86,1.244,23.0,172.5,69.0,1,0,0,2,0,2
ERI,Eritrea,2012 Summer,2012,2.255,3.25,2,7,1.714,23.0,174.0,58.5,1,0,0,0,0,0
ESA,El Salvador,2012 Summer,2012,21.386,6.238,7,11,0.909,23.0,165.0,61.0,1,0,0,0,0,0
ESP,Spain,2012 Summer,2012,1325.58,46.766,27,135,2.052,26.0,175.0,69.0,1,0,5,33,24,62
EST,Estonia,2012 Summer,2012,23.206,1.323,11,30,1.067,26.5,184.0,82.0,1,0,0,1,1,2
ETH,Ethiopia,2012 Summer,2012,42.221,85.586,2,14,2.286,23.0,168.0,56.0,1,0,3,1,3,7
FIJ,Fiji,2012 Summer,2012,4.303,0.858,6,9,1.0,22.0,180.0,81.0,1,0,0,0,0,0
FIN,Finland,2012 Summer,2012,258.454,5.401,14,61,0.918,27.0,174.0,66.0,1,0,0,1,4,5
FRA,France,2012 Summer,2012,2685.37,63.376,28,188,1.718,26.0,177.0,68.0,1,0,30,30,22,82
FSM,Federated States of Micronesia,2012 Summer,2012,0.327,0.103,4,6,1.0,28.0,167.0,64.5,1,0,0,0,0,0
GAB,Gabon,2012 Summer,2012,17.181,1.735,5,7,3.0,20.0,172.0,70.0,1,0,0,1,0,1
GBR,Great Britain,2012 Summer,2012,2704.5,63.705,32,245,2.143,25.0,178.0,71.0,1,1,46,30,47,123
GEO,Georgia,2012 Summer,2012,16.489,3.739,10,35,0.971,24.0,175.0,73.0,1,0,1,3,3,7
GEQ,Equatorial Guinea,2012 Summer,2012,22.388,1.039,1,2,1.0,26.0,173.0,65.5,1,0,0,0,0,0
GER,Germany,2012 Summer,2012,3529.38,80.426,27,213,1.798,26.0,179.0,70.0,1,0,45,27,22,94
GHA,Ghana,2012 Summer,2012,56.505,25.867,2,4,1.0,23.5,167.0,58.0,1,0,0,0,0,0
GRE,Greece,2012 Summer,2012,242.193,11.086,20,76,1.289,26.0,180.0,74.0,1,0,0,0,3,3
GRN,Grenada,2012 Summer,2012,0.8,0.107,3,8,1.0,25.0,181.0,66.0,1,0,1,0,0,1
GUA,Guatemala,2012 Summer,2012,49.902,15.271,11,21,0.905,23.0,171.5,65.0,1,0,0,1,0,1
GUI,Guinea,2012 Summer,2012,7.304,11.451,3,4,1.0,21.0,170.5,63.5,1,0,0,0,0,0
GUY,Guyana,2012 Summer,2012,4.063,0.758,2,5,1.0,25.0,170.0,68.0,1,0,0,0,0,0
HAI,Haiti,2012 Summer,2012,13.709,10.251,2,4,1.0,26.0,182.0,77.0,1,0,0,0,0,0
HKG,Hong Kong,2012 Summer,2012,262.629,7.171,13,44,0.932,25.0,168.0,62.0,1,0,0,0,1,1
HON,Honduras,2012 Summer,2012,18.527,8.641,7,9,2.667,22.0,170.0,70.0,1,0,0,0,0,0
HUN,Hungary,2012 Summer,2012,128.475,9.932,21,110,1.364,25.0,180.0,74.5,1,0,12,8,6,26
INA,Indonesia,2012 Summer,2012,919.002,245.425,6,14,1.429,24.0,165.0,62.0,1,0,0,1,1,2
IND,India,2012 Summer,2012,1827.64,1265.78,11,45,1.378,26.0,174.0,70.0,1,0,0,2,4,6
IRI,Iran,2012 Summer,2012,392.295,76.038,13,49,1.02,25.0,178.0,79.0,1,0,4,5,3,12
IRL,Ireland,2012 Summer,2012,225.185,4.605,14,51,1.196,29.0,175.0,65.0,1,0,1,1,3,5
IRQ,Iraq,2012 Summer,2012,218.032,32.578,5,6,1.0,24.0,169.0,71.5,1,0,0,0,0,0
ISL,Iceland,2012 Summer,2012,14.752,0.32,6,19,1.316,27.5,187.0,84.0,1,0,0,0,0,0
ISR,Israel,2012 Summer,2012,257.173,7.907,10,41,0.878,24.0,171.0,65.0,1,0,0,0,0,0
ITA,Italy,2012 Summer,2012,2088.28,60.168,28,169,1.639,27.0,177.0,70.0,1,0,16,22,28,66
JAM,Jamaica,2012 Summer,2012,14.765,2.71,4,25,1.8,25.0,175.5,71.0,1,0,8,9,8,25
JOR,Jordan,2012 Summer,2012,31.679,7.993,4,8,1.0,25.0,173.5,66.5,1,0,0,0,0,0
JPN,Japan,2012 Summer,2012,6272.36,127.552,29,175,1.583,24.0,168.0,61.0,1,0,6,43,33,82
KAZ,Kazakhstan,2012 Summer,2012,207.999,16.91,17,95,1.095,26.0,178.5,69.5,1,0,7,1,4,12
KEN,Kenya,2012 Summer,2012,50.422,40.4,4,22,2.091,25.5,169.0,56.0,1,0,2,4,5,11
KGZ,Kyrgyzstan,2012 Summer,2012,6.604,5.552,8,15,0.933,23.0,172.0,70.0,1,0,0,0,0,0
KIR,Kiribati,2012 Summer,2012,0.19,0.106,2,3,1.0,19.0,167.0,67.0,1,0,0,0,0,0
KOR,South Korea,2012 Summer,2012,1278.05,50.2,25,140,1.771,25.0,173.0,65.0,1,0,18,13,30,61
KSA,Saudi Arabia,2012 Summer,2012,735.975,29.196,3,11,1.182,27.0,172.0,69.0,1,0,0,0,3,3
KUW,Kuwait,2012 Summer,2012,174.066,3.807,4,11,0.909,26.5,178.0,71.5,1,0,0,0,1,1
LAO,Laos,2012 Summer,2012,10.195,6.445,2,3,1.0,16.0,168.0,56.0,1,0,0,0,0,0
LAT,Latvia,2012 Summer,2012,28.346,2.045,12,38,1.184,25.0,182.5,75.5,1,0,1,0,2,3
LBA,Libya,2012 Summer,2012,79.759,6.283,3,4,1.0,22.5,170.5,63.0,1,0,0,0,0,0
LBR,Liberia,2012 Summer,2012,2.673,3.845,1,3,1.0,27.0,170.0,59.0,1,0,0,0,0,0
LCA,Saint Lucia,2012 Summer,2012,1.605,0.169,3,4,1.0,26.5,170.5,55.0,1,0,0,0,0,0
LES,Lesotho,2012 Summer,2012,2.465,1.954,1,3,1.0,23.0,171.0,56.0,1,0,0,0,0,0
LIB,Lebanon,2012 Summer,2012,44.036,5.538,7,10,1.0,22.0,173.5,64.0,1,0,0,0,0,0
LTU,Lithuania,2012 Summer,2012,42.952,2.988,13,48,1.25,26.0,186.0,80.0,1,0,2,1,2,5
LUX,Luxembourg,2012 Summer,2012,56.711,0.525,7,11,0.818,26.0,183.0,69.0,1,0,0,0,0,0
MAD,Madagascar,2012 Summer,2012,11.579,22.347,5,7,1.0,23.0,167.0,70.0,1,0,0,0,0,0
MAR,Morocco,2012 Summer,2012,98.266,32.978,11,31,1.742,25.0,173.5,64.0,1,0,0,0,1,1
MAS,Malaysia,2012 Summer,2012,318.91,29.51,9,25,1.16,23.0,169.0,64.5,1,0,0,1,1,2
MAW,Malawi,2012 Summer,2012,5.981,16.632,2,3,1.0,27.0,170.0,70.0,1,0,0,0,0,0
MDA,Moldova,2012 Summer,2012,8.708,2.873,9,19,1.053,23.0,176.5,70.0,1,0,0,0,2,2
MDV,Maldives,2012 Summer,2012,2.885,0.331,3,5,1.0,18.0,165.0,55.0,1,0,0,0,0,0
MEX,Mexico,2012 Summer,2012,1201.09,116.936,23,72,1.333,24.0,172.0,66.0,1,0,15,5,3,23
MGL,Mongolia,2012 Summer,2012,12.278,2.868,7,31,0.903,26.0,171.0,65.0,1,0,0,2,3,5
MHL,Marshall Islands,2012 Summer,2012,0.181,0.053,2,4,1.0,20.5,171.5,70.5,1,0,0,0,0,0
MKD,Macedonia,2012 Summer,2012,9.751,2.062,2,4,1.0,19.5,179.0,69.5,1,0,0,0,0,0
MLI,Mali,2012 Summer,2012,12.45,15.515,3,3,1.0,27.0,168.0,74.0,1,0,0,0,0,0
MLT,Malta,2012 Summer,2012,9.468,0.418,3,5,1.0,21.0,177.0,72.0,1,0,0,0,0,0
MNE,Montenegro,2012 Summer,2012,4.09,0.621,7,9,3.667,27.0,185.0,85.5,1,0,0,14,0,14
MOZ,Mozambique,2012 Summer,2012,16.257,25.733,3,5,1.0,22.0,168.0,60.0,1,0,0,0,0,0
MRI,Mauritius,2012 Summer,2012,11.669,1.256,7,10,1.1,25.0,170.0,62.0,1,0,0,0,0,0
MTN,Mauritania,2012 Summer,2012,6.721,3.454,1,2,1.0,22.5,165.5,59.0,1,0,0,0,0,0
MYA,Myanmar,2012 Summer,2012,59.0,49.909,5,6,1.0,26.5,163.5,60.0,1,0,0,0,0,0
NAM,Namibia,2012 Summer,2012,13.016,2.155,5,8,1.125,28.0,169.0,55.0,1,0,0,0,0,0
NCA,Nicaragua,2012 Summer,2012,10.532,6.071,3,4,1.0,24.5,172.5,65.5,1,0,0,0,0,0
NED,Netherlands,2012 Summer,2012,839.455,16.73,19,95,1.821,26.0,180.0,72.0,1,0,21,29,19,69
NEP,Nepal,2012 Summer,2012,21.703,26.99,3,5,1.0,19.0,163.0,54.0,1,0,0,0,0,0
NGR,Nigeria,2012 Summer,2012,460.952,167.229,7,27,1.481,24.0,176.0,71.0,1,0,0,0,0,0
NIG,Niger,2012 Summer,2012,9.412,17.795,4,5,1.0,24.0,170.0,60.0,1,0,0,0,0,0
NOR,Norway,2012 Summer,2012,509.506,5.038,13,35,1.171,27.0,180.0,70.0,1,0,9,1,1,11
NRU,Nauru,2012 Summer,2012,0.097,0.01,2,2,1.0,27.0,174.5,110.5,1,0,0,0,0,0
NZL,New Zealand,2012 Summer,2012,175.044,4.411,15,85,1.882,25.0,178.5,72.0,1,0,9,3,15,27
OMA,Oman,2012 Summer,2012,76.616,3.623,2,3,1.0,24.0,170.0,67.0,1,0,0,0,0,0
PAK,Pakistan,2012 Summer,2012,223.119,178.91,2,2,4.0,32.0,171.5,64.5,1,0,0,0,0,0
PAN,Panama,2012 Summer,2012,40.43,3.788,4,7,1.0,23.0,175.0,70.0,1,0,0,0,0,0
PAR,Paraguay,2012 Summer,2012,33.308,6.461,5,9,0.778,24.0,174.0,66.0,1,0,0,0,0,0
PER,Peru,2012 Summer,2012,192.882,30.136,9,14,1.143,25.0,168.0,63.0,1,0,0,0,0,0
PHI,Philippines,2012 Summer,2012,261.92,96.25,8,11,1.0,25.0,170.0,65.0,1,0,0,0,0,0
PLW,Palau,2012 Summer,2012,0.212,0.018,4,5,1.0,18.0,165.0,62.0,1,0,0,0,0,0
PNG,Papua New Guinea,2012 Summer,2012,21.295,7.431,5,8,1.0,25.5,167.5,65.5,1,0,0,0,0,0
POL,Poland,2012 Summer,2012,498.517,38.064,24,148,1.419,26.0,178.0,73.0,1,0,2,2,8,12
POR,Portugal,2012 Summer,2012,216.361,10.515,14,75,1.013,27.0,173.5,64.5,1,0,0,2,0,2
PUR,Puerto Rico,2012 Summer,2012,101.565,3.634,6,12,1.167,26.0,177.5,76.0,1,0,0,1,1,2
QAT,Qatar,2012 Summer,2012,186.834,1.833,4,13,0.923,20.0,175.0,63.0,1,0,0,0,2,2
ROU,Romania,2012 Summer,2012,170.636,20.096,14,73,1.356,24.0,175.0,65.0,1,0,2,8,3,13
RSA,South Africa,2012 Summer,2012,396.332,52.93,16,63,1.937,25.0,178.0,72.0,1,0,6,2,1,9
RUS,Russia,2012 Summer,2012,2191.48,143.347,30,238,1.794,25.0,177.0,68.0,1,0,50,38,51,139
RWA,Rwanda,2012 Summer,2012,7.687,10.5,4,7,1.0,25.0,160.0,61.0,1,0,0,0,0,0
SAM,Samoa,2012 Summer,2012,0.761,0.189,6,9,0.889,27.0,182.0,86.0,1,0,0,0,0,0
SEN,Senegal,2012 Summer,2012,17.672,13.402,8,16,1.938,24.0,182.5,75.0,1,0,0,0,0,0
SEY,Seychelles,2012 Summer,2012,1.06,0.088,4,5,1.0,19.0,171.0,60.0,1,0,0,0,0,0
SGP,Singapore,2012 Summer,2012,295.093,5.312,9,29,0.793,23.0,163.5,61.0,1,0,0,0,4,4
SLE,Sierra Leone,2012 Summer,2012,3.802,6.713,1,2,1.0,25.5,180.5,73.5,1,0,0,0,0,0
SLO,Slovenia,2012 Summer,2012,46.607,2.055,15,68,0.956,25.5,174.0,68.5,1,0,1,1,3,5
SMR,San Marino,2012 Summer,2012,1.606,0.032,4,4,1.0,23.5,167.0,65.0,1,0,0,0,0,0
SOL,Solomon Islands,2012 Summer,2012,1.191,0.55,2,2,1.0,30.5,167.5,64.0,1,0,0,0,0,0
SRB,Serbia,2012 Summer,2012,43.33,7.201,15,55,2.109,26.0,186.5,81.5,1,0,1,1,14,16
SRI,Sri Lanka,2012 Summer,2012,68.381,20.425,4,8,0.875,27.0,165.5,59.0,1,0,0,0,0,0
STP,Sao Tome and Principe,2012 Summer,2012,0.253,0.183,1,2,1.0,23.0,173.5,64.5,1,0,0,0,0,0
SUD,Sudan,2012 Summer,2012,48.948,35.056,2,5,1.2,23.5,175.5,62.0,1,0,0,0,0,0
SUI,Switzerland,2012 Summer,2012,692.405,7.955,19,71,1.38,25.5,180.0,70.0,1,0,2,2,0,4
SUR,Suriname,2012 Summer,2012,4.98,0.542,3,5,1.0,20.0,172.0,75.0,1,0,0,0,0,0
SVK,Slovakia,2012 Summer,2012,94.589,5.404,11,52,0.904,27.0,180.0,73.0,1,0,0,1,4,5
SWE,Sweden,2012 Summer,2012,552.484,9.556,21,81,1.642,28.0,178.0,71.0,1,0,2,17,3,22
SWZ,Swaziland,2012 Summer,2012,4.887,1.056,2,3,1.0,23.0,180.0,82.0,1,0,0,0,0,0
TAN,Tanzania,2012 Summer,2012,39.651,45.688,3,5,1.2,28.5,166.5,57.5,1,0,0,0,0,0
TGA,Tonga,2012 Summer,2012,0.471,0.103,2,2,1.0,27.0,183.0,88.5,1,0,0,0,0,0
THA,Thailand,2012 Summer,2012,397.722,67.836,15,37,1.0,24.0,168.0,63.0,1,0,0,2,1,3
TJK,Tajikistan,2012 Summer,2012,7.592,7.995,7,16,1.0,25.5,174.5,74.5,1,0,0,0,1,1
TKM,Turkmenistan,2012 Summer,2012,35.164,5.268,5,10,1.0,21.0,174.0,66.0,1,0,0,0,0,0
TLS,Timor Leste,2012 Summer,2012,1.148,1.133,1,2,1.0,24.0,159.5,53.0,1,0,0,0,0,0
TOG,Togo,2012 Summer,2012,5.229,6.774,4,5,1.0,28.0,176.0,73.0,1,0,0,0,0,0
TTO,Trinidad and Tobago,2012 Summer,2012,25.763,1.345,5,21,1.143,23.0,179.0,75.0,1,0,1,4,5,10
TUN,Tunisia,2012 Summer,2012,45.044,10.887,16,45,1.733,25.0,184.0,82.0,1,0,1,1,1,3
TUR,Turkey,2012 Summer,2012,880.141,75.627,16,80,1.4,25.0,174.0,65.5,1,0,2,2,1,5
TUV,Tuvalu,2012 Summer,2012,0.037,0.011,2,2,1.0,20.5,158.0,68.0,1,0,0,0,0,0
UAE,United Arab Emirates,2012 Summer,2012,374.591,8.768,4,7,3.429,22.0,176.0,71.0,1,0,0,0,0,0
UGA,Uganda,2012 Summer,2012,30.939,32.548,4,12,1.25,23.5,172.0,58.5,1,0,1,0,0,1
UKR,Ukraine,2012 Summer,2012,175.707,45.373,25,168,1.333,25.0,175.0,66.0,1,0,9,5,12,26
URU,Uruguay,2012 Summer,2012,55.692,3.426,8,11,2.455,23.0,178.0,74.0,1,0,0,0,0,0
USA,United States,2012 Summer,2012,16197.05,314.121,31,245,2.159,26.0,178.0,73.0,1,0,145,57,46,248
UZB,Uzbekistan,2012 Summer,2012,63.631,29.555,13,48,1.021,26.0,175.5,72.0,1,0,1,0,2,3
VAN,Vanuatu,2012 Summer,2012,0.736,0.251,3,5,1.0,24.0,173.0,62.0,1,0,0,0,0,0
VEN,Venezuela,2012 Summer,2012,352.191,29.365,15,68,0.971,26.0,172.0,68.0,1,0,1,0,0,1
VIE,Vietnam,2012 Summer,2012,195.168,88.809,11,23,0.783,23.0,165.0,57.0,1,0,0,0,0,0
YEM,Yemen,2012 Summer,2012,35.401,25.884,3,4,1.0,19.5,168.0,59.0,1,0,0,0,0,0
ZAM,Zambia,2012 Summer,2012,25.502,14.787,4,6,1.0,22.0,179.0,74.5,1,0,0,0,0,0
ZIM,Zimbabwe,2012 Summer,2012,17.115,13.061,4,8,0.875,28.0,176.0,64.0,1,0,0,0,0,0
ALB,Albania,2014 Winter,2014,13.246,2.889,1,2,0.5,20.0,163.0,56.0,0,0,0,0,0,0
ARG,Argentina,2014 Winter,2014,563.614,42.67,1,9,0.222,29.0,168.0,60.0,0,0,0,0,0,0
ARM,Armenia,2014 Winter,2014,11.61,2.985,2,5,0.8,22.0,178.0,70.5,0,0,0,0,0,0
AUS,Australia,2014 Winter,2014,1457.39,23.64,11,46,1.261,23.0,173.0,69.0,0,0,0,2,1,3
AUT,Austria,2014 Winter,2014,442.699,8.544,14,70,1.8,26.0,178.0,73.0,0,0,4,12,11,27
AZE,Azerbaijan,2014 Winter,2014,75.24,9.477,1,2,0.5,22.0,184.0,82.0,0,0,0,0,0,0
BEL,Belgium,2014 Winter,2014,535.529,11.181,4,9,0.667,25.0,176.5,67.0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,2014 Winter,2014,18.522,3.482,3,12,0.417,22.0,184.5,77.0,0,0,0,0,0,0
BLR,Belarus,2014 Winter,2014,78.736,9.468,5,31,0.839,28.0,171.0,67.5,0,0,5,0,1,6
BRA,Brazil,2014 Winter,2014,2456.06,201.718,7,13,1.0,30.0,170.0,74.0,0,0,0,0,0,0
BUL,Bulgaria,2014 Winter,2014,56.902,7.202,6,27,0.667,26.0,177.0,70.0,0,0,0,0,0,0
CAN,Canada,2014 Winter,2014,1805.75,35.392,14,93,2.333,26.0,176.0,70.0,0,0,59,22,5,86
CHI,Chile,2014 Winter,2014,260.472,17.788,2,10,0.4,23.0,175.0,71.0,0,0,0,0,0,0
CHN,China,2014 Winter,2014,10524.21,1367.82,9,45,1.378,23.0,170.0,62.0,0,0,3,4,5,12
CRO,Croatia,2014 Winter,2014,57.64,4.238,3,16,0.688,23.0,175.0,79.0,0,0,0,1,0,1
CYP,Cyprus,2014 Winter,2014,23.162,0.858,1,2,0.5,20.0,165.0,61.0,0,0,0,0,0,0
CZE,Czech Republic,2014 Winter,2014,209.359,10.512,13,65,1.338,27.0,178.0,69.0,0,0,2,7,2,11
DEN,Denmark,2014 Winter,2014,352.994,5.627,3,9,0.778,28.0,186.0,78.5,0,0,0,0,0,0
DMA,Dominica,2014 Winter,2014,0.524,0.069,1,1,1.0,47.0,183.0,82.0,0,0,0,0,0,0
ESP,Spain,2014 Winter,2014,1371.58,46.455,7,25,0.8,25.0,173.0,70.0,0,0,0,0,0,0
EST,Estonia,2014 Winter,2014,26.816,1.315,6,24,0.958,24.0,182.5,74.0,0,0,0,0,0,0
FIN,Finland,2014 Winter,2014,274.934,5.451,9,41,2.415,26.0,175.0,68.0,0,0,2,7,24,33
FRA,France,2014 Winter,2014,2856.7,64.028,12,68,1.5,26.0,175.0,67.0,0,0,4,4,9,17
GBR,Great Britain,2014 Winter,2014,3067.12,64.597,10,40,1.275,25.0,176.0,72.0,0,0,1,4,5,10
GEO,Georgia,2014 Winter,2014,17.627,3.717,2,5,0.8,22.0,176.0,80.0,0,0,0,0,0,0
GER,Germany,2014 Winter,2014,3890.1,80.983,14,75,1.867,26.0,176.0,70.0,0,0,15,12,9,36
GRE,Greece,2014 Winter,2014,235.669,10.927,4,10,0.7,24.0,179.0,77.0,0,0,0,0,0,0
HKG,Hong Kong,2014 Winter,2014,291.46,7.253,1,1,1.0,20.0,173.0,66.0,0,0,0,0,0,0
HUN,Hungary,2014 Winter,2014,140.765,9.877,5,23,0.696,25.0,174.0,70.0,0,0,0,0,0,0
IND,India,2014 Winter,2014,2039.13,1295.6,2,2,1.0,25.0,170.0,59.5,0,0,0,0,0,0
IRI,Iran,2014 Winter,2014,433.088,78.47,2,5,1.0,26.0,179.0,75.0,0,0,0,0,0,0
IRL,Ireland,2014 Winter,2014,258.889,4.667,4,8,0.625,18.5,178.5,75.5,0,0,0,0,0,0
ISL,Iceland,2014 Winter,2014,17.868,0.326,1,2,1.0,22.0,191.5,100.5,0,0,0,0,0,0
ISR,Israel,2014 Winter,2014,310.048,8.212,1,3,0.333,24.0,186.0,84.0,0,0,0,0,0,0
ITA,Italy,2014 Winter,2014,2162.57,60.783,13,74,1.392,25.0,172.0,65.5,0,0,0,2,12,14
JAM,Jamaica,2014 Winter,2014,13.865,2.716,1,1,2.0,38.0,178.5,100.0,0,0,0,0,0,0
JPN,Japan,2014 Winter,2014,4897.0,127.12,15,58,1.741,26.0,166.0,59.0,0,0,0,4,6,10
KAZ,Kazakhstan,2014 Winter,2014,221.416,17.416,10,47,1.064,26.0,175.0,70.0,0,0,0,0,1,1
KOR,South Korea,2014 Winter,2014,1484.49,50.747,12,51,1.216,23.0,173.0,62.0,0,0,7,5,2,14
LAT,Latvia,2014 Winter,2014,31.379,2.001,9,32,1.75,25.0,182.0,84.0,0,0,0,5,6,11
LIB,Lebanon,2014 Winter,2014,48.134,6.261,1,3,0.667,18.0,184.0,76.0,0,0,0,0,0,0
LTU,Lithuania,2014 Winter,2014,48.611,2.932,4,18,0.389,21.0,177.0,65.0,0,0,0,0,0,0
LUX,Luxembourg,2014 Winter,2014,66.209,0.55,1,1,1.0,28.0,183.0,78.0,0,0,0,0,0,0
MAR,Morocco,2014 Winter,2014,110.081,33.77,1,4,0.5,18.0,168.0,68.0,0,0,0,0,0,0
MDA,Moldova,2014 Winter,2014,9.51,2.869,4,5,0.8,25.0,172.0,70.0,0,0,0,0,0,0
MEX,Mexico,2014 Winter,2014,1315.36,119.936,1,1,1.0,55.0,183.0,77.0,0,0,0,0,0,0
MGL,Mongolia,2014 Winter,2014,12.227,2.996,1,2,1.0,22.0,166.5,61.0,0,0,0,0,0,0
MKD,Macedonia,2014 Winter,2014,11.378,2.069,2,6,0.5,28.0,180.0,72.0,0,0,0,0,0,0
MLT,Malta,2014 Winter,2014,11.629,0.429,1,2,0.5,22.0,162.0,58.0,0,0,0,0,0,0
MNE,Montenegro,2014 Winter,2014,4.595,0.622,1,3,0.667,19.0,180.0,75.0,0,0,0,0,0,0
NED,Netherlands,2014 Winter,2014,892.398,16.829,4,28,1.393,26.0,180.0,73.0,0,0,13,7,9,29
NEP,Nepal,2014 Winter,2014,22.722,26.907,1,1,1.0,44.0,170.0,70.0,0,0,0,0,0,0
NOR,Norway,2014 Winter,2014,498.41,5.156,11,50,1.26,28.0,180.0,74.0,0,0,13,2,8,23
NZL,New Zealand,2014 Winter,2014,200.139,4.52,5,12,1.167,23.0,171.5,66.5,0,0,0,0,0,0
PAK,Pakistan,2014 Winter,2014,243.94,186.19,1,1,1.0,18.0,163.0,64.0,0,0,0,0,0,0
PAR,Paraguay,2014 Winter,2014,40.277,6.657,1,1,1.0,21.0,160.0,66.0,0,0,0,0,0,0
PER,Peru,2014 Winter,2014,202.308,30.814,2,5,0.6,22.0,168.0,60.0,0,0,0,0,0,0
POL,Poland,2014 Winter,2014,542.602,38.018,11,58,1.0,26.0,175.0,64.0,0,0,4,4,3,11
POR,Portugal,2014 Winter,2014,229.961,10.401,1,4,0.5,18.5,172.5,65.0,0,0,0,0,0,0
ROU,Romania,2014 Winter,2014,199.961,19.953,8,32,0.688,24.0,174.0,68.0,0,0,0,0,0,0
RUS,Russia,2014 Winter,2014,2048.84,146.267,15,92,2.152,26.0,175.0,70.0,0,1,27,20,11,58
SLO,Slovenia,2014 Winter,2014,50.01,2.061,8,38,1.526,27.0,176.5,72.0,0,0,2,2,4,8
SMR,San Marino,2014 Winter,2014,1.674,0.033,1,2,1.0,17.0,168.5,55.5,0,0,0,0,0,0
SRB,Serbia,2014 Winter,2014,47.095,7.132,5,14,0.571,23.0,185.0,81.0,0,0,0,0,0,0
SUI,Switzerland,2014 Winter,2014,734.73,8.14,12,61,2.393,26.0,173.0,71.0,0,0,6,4,20,30
SVK,Slovakia,2014 Winter,2014,101.351,5.416,9,38,1.632,26.0,180.0,74.0,0,0,1,0,0,1
SWE,Sweden,2014 Winter,2014,581.964,9.747,9,38,2.553,26.0,175.5,73.0,0,0,8,30,11,49
TGA,Tonga,2014 Winter,2014,0.44,0.102,1,1,1.0,26.0,184.0,89.0,0,0,0,0,0,0
THA,Thailand,2014 Winter,2014,407.373,68.439,1,3,0.667,21.0,170.0,67.0,0,0,0,0,0,0
TJK,Tajikistan,2014 Winter,2014,9.242,8.363,1,1,1.0,28.0,160.0,65.0,0,0,0,0,0,0
TLS,Timor Leste,2014 Winter,2014,1.447,1.174,1,1,1.0,19.0,181.0,78.0,0,0,0,0,0,0
TOG,Togo,2014 Winter,2014,6.174,7.138,2,3,0.667,18.0,168.0,58.0,0,0,0,0,0,0
TUR,Turkey,2014 Winter,2014,938.512,77.696,2,9,0.444,29.0,165.0,62.0,0,0,0,0,0,0
UKR,Ukraine,2014 Winter,2014,130.571,42.76,9,41,1.024,26.0,176.0,66.0,0,0,4,0,1,5
USA,United States,2014 Winter,2014,17527.28,318.535,15,94,2.362,26.0,175.0,70.0,0,0,10,30,24,64
UZB,Uzbekistan,2014 Winter,2014,76.661,30.493,1,4,0.5,23.0,182.5,67.5,0,0,0,0,0,0
VEN,Venezuela,2014 Winter,2014,203.822,30.206,1,1,1.0,43.0,177.0,90.0,0,0,0,0,0,0
ZIM,Zimbabwe,2014 Winter,2014,19.496,13.778,1,2,0.5,20.0,182.0,81.0,0,0,0,0,0,0
