Games,NOC,Athletes,Sports,Events,Competitor Age (Avg),Competitor Height (Avg),Competitor Weight (Avg),M/F,Summer,Home_Field Adv,Year,Gold,Silver,Bronze,Medaled,Total Medals,Athletes per Event,% Medal Bronze
1976 Summer,ITA,206,20,119,25.136,177.626,73.068,1,1,0,1976,2,25,4,1,31,1.731,0.129
1976 Summer,JAM,20,3,18,22.8,174.55,64.5,1,1,0,1976,1,1,0,1,2,1.111,0.0
1976 Summer,JPN,207,20,113,24.826,172.164,68.498,1,1,0,1976,25,6,10,1,41,1.832,0.244
1976 Summer,KOR,50,5,27,24.44,172.58,66.72,1,1,0,1976,1,1,15,1,17,1.852,0.882
1976 Summer,KSA,14,1,13,23.143,177.0,73.5,1,1,0,1976,0,0,0,0,0,1.077,0.0
1976 Summer,KUW,12,3,12,20.917,172.0,69.417,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,LIB,2,2,3,21.0,177.5,88.5,1,1,0,1976,0,0,0,0,0,0.667,0.0
1976 Summer,LIE,6,2,9,22.5,172.333,70.5,1,1,0,1976,0,0,0,0,0,0.667,0.0
1976 Summer,LUX,4,4,5,31.5,178.0,73.0,1,1,0,1976,0,0,0,0,0,0.8,0.0
1976 Summer,MAR,8,2,8,25.25,172.625,60.75,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,MAS,23,5,9,25.739,172.217,62.087,1,1,0,1976,0,0,0,0,0,2.556,0.0
1976 Summer,MEX,93,17,52,24.43,175.645,70.452,1,1,0,1976,1,0,1,1,2,1.788,0.5
1976 Summer,MGL,31,5,29,26.323,171.935,68.774,1,1,0,1976,0,1,0,1,1,1.069,0.0
1976 Summer,MON,7,2,3,43.714,174.714,75.571,1,1,0,1976,0,0,0,0,0,2.333,0.0
1976 Summer,NCA,9,4,11,23.556,169.444,63.889,1,1,0,1976,0,0,0,0,0,0.818,0.0
1976 Summer,NED,100,11,50,24.48,179.01,73.01,1,1,0,1976,0,2,12,1,14,2.0,0.857
1976 Summer,NEP,1,1,1,23.0,162.0,50.0,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,NOR,66,11,44,24.273,182.652,78.667,1,1,0,1976,2,4,0,1,6,1.5,0.0
1976 Summer,NZL,76,13,46,25.921,178.368,74.211,1,1,0,1976,15,1,9,1,25,1.652,0.36
1976 Summer,PAK,19,4,4,24.737,173.789,68.5,1,1,0,1976,0,0,16,1,16,4.75,1.0
1976 Summer,PAN,6,5,9,23.333,171.833,69.833,1,1,0,1976,0,0,0,0,0,0.667,0.0
1976 Summer,PAR,3,3,3,33.667,172.667,71.333,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,PER,13,2,3,21.615,170.231,63.231,0,1,0,1976,0,0,0,0,0,4.333,0.0
1976 Summer,PHI,11,6,17,26.182,167.182,59.727,1,1,0,1976,0,0,0,0,0,0.647,0.0
1976 Summer,PNG,6,3,8,23.833,167.167,57.167,1,1,0,1976,0,0,0,0,0,0.75,0.0
1976 Summer,POL,207,18,116,25.599,177.556,74.341,1,1,0,1976,18,29,26,1,73,1.784,0.356
1976 Summer,POR,16,6,20,25.062,170.562,64.312,1,1,0,1976,0,2,0,1,2,0.8,0.0
1976 Summer,PRK,38,8,21,25.105,169.763,66.789,1,1,0,1976,1,1,0,1,2,1.81,0.0
1976 Summer,PUR,73,12,65,25.082,177.027,72.233,1,1,0,1976,0,0,1,1,1,1.123,1.0
1976 Summer,ROU,156,11,91,24.904,175.391,72.635,1,1,0,1976,4,27,23,1,54,1.714,0.426
1976 Summer,SEN,19,4,23,27.0,179.579,80.421,1,1,0,1976,0,0,0,0,0,0.826,0.0
1976 Summer,SMR,10,3,7,28.3,175.0,73.8,1,1,0,1976,0,0,0,0,0,1.429,0.0
1976 Summer,SUI,48,11,37,26.354,177.75,74.125,1,1,0,1976,1,3,6,1,10,1.297,0.6
1976 Summer,SUR,2,1,3,23.5,179.5,69.0,1,1,0,1976,0,0,0,0,0,0.667,0.0
1976 Summer,SWE,116,16,90,25.612,180.095,76.569,1,1,0,1976,9,1,0,1,10,1.289,0.0
1976 Summer,TCH,163,16,79,25.429,180.54,78.454,1,1,0,1976,2,4,9,1,15,2.063,0.6
1976 Summer,THA,39,10,32,28.385,167.897,60.385,1,1,0,1976,0,0,1,1,1,1.219,1.0
1976 Summer,TTO,12,2,9,23.333,176.333,70.25,1,1,0,1976,1,0,0,1,1,1.333,0.0
1976 Summer,TUN,14,3,4,23.214,182.286,78.857,1,1,0,1976,0,0,0,0,0,3.5,0.0
1976 Summer,TUR,25,8,25,26.12,169.56,67.16,1,1,0,1976,0,0,0,0,0,1.0,0.0
1976 Summer,URS,405,22,189,25.042,178.168,76.61,1,1,0,1976,114,92,75,1,281,2.143,0.267
1976 Summer,URU,4,4,5,21.75,174.25,71.5,1,1,0,1976,0,0,0,0,0,0.8,0.0
1976 Summer,USA,395,19,189,23.754,179.311,74.313,1,1,0,1976,70,58,36,1,164,2.09,0.22
1976 Summer,VEN,27,6,27,20.963,170.185,62.444,1,1,0,1976,0,1,0,1,1,1.0,0.0
1976 Summer,YUG,88,14,52,24.739,185.523,82.5,1,1,0,1976,2,14,3,1,19,1.692,0.158
1976 Winter,AUS,2,2,6,24.0,176.0,70.5,1,0,0,1976,0,0,0,0,0,0.333,0.0
1976 Winter,AUT,45,8,22,24.244,176.244,73.622,1,0,0,1976,1,2,2,1,5,2.045,0.4
1976 Winter,BUL,5,2,7,22.0,177.8,73.0,1,0,0,1976,0,0,0,0,0,0.714,0.0
1976 Winter,CAN,21,7,25,22.476,170.81,63.619,1,0,0,1976,1,1,1,1,3,0.84,0.333
1976 Winter,ESP,1,1,3,25.0,171.0,65.0,1,0,0,1976,0,0,0,0,0,0.333,0.0
1976 Winter,FIN,47,8,26,25.596,175.894,72.468,1,0,0,1976,5,10,1,1,16,1.808,0.062
1976 Winter,FRA,17,7,17,24.059,173.824,68.118,1,0,0,1976,0,0,1,1,1,1.0,1.0
1976 Winter,FRG,67,10,31,25.373,175.866,73.97,1,0,0,1976,2,7,23,1,32,2.161,0.719
1976 Winter,GBR,19,7,17,25.947,176.947,74.684,1,0,0,1976,1,0,0,1,1,1.118,0.0
