NOC,Region,Games,Year,GDP (Avg),Athletes,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,M/F,Summer,Home_Field Adv,Medaled,Total Medals,Gold,Silver,Bronze,% Medal Bronze,% Medal Silver,% Medal Gold
MTN,Mauritania,2016 Summer,2016,1876.55,2,1,2,1.0,27.5,170.5,63.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
NCA,Nicaragua,2016 Summer,2016,452.18,5,4,5,1.0,19.0,175.0,59.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
NED,Netherlands,2016 Summer,2016,1583.085,237,23,122,1.943,26.0,180.0,71.0,1,1,0,1,47,9,25,13,0.277,0.532,0.191
NGR,Nigeria,2016 Summer,2016,1394.996,67,9,34,1.971,25.0,173.0,75.0,1,1,0,1,17,0,0,17,1.0,0.0,0.0
NOR,Norway,2016 Summer,2016,1514.738,48,11,39,1.231,26.5,179.0,69.0,1,1,0,1,19,0,0,19,1.0,0.0,0.0
NZL,New Zealand,2016 Summer,2016,709.076,193,20,99,1.949,25.0,179.0,73.0,1,1,0,1,35,6,24,5,0.143,0.686,0.171
OMA,Oman,2016 Summer,2016,694.919,3,2,3,1.0,28.0,173.0,68.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PAK,Pakistan,2016 Summer,2016,11765.202,5,3,5,1.0,21.0,167.0,74.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PAN,Panama,2016 Summer,2016,183.393,10,7,14,0.714,27.0,169.5,59.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PAR,Paraguay,2016 Summer,2016,6768.802,11,7,11,1.0,26.0,170.0,66.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PER,Peru,2016 Summer,2016,624.509,29,11,28,1.036,25.0,166.0,60.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
POL,Poland,2016 Summer,2016,1825.49,234,24,144,1.625,27.0,181.0,75.0,1,1,0,1,16,3,3,10,0.625,0.188,0.188
POR,Portugal,2016 Summer,2016,2336.46,90,17,61,1.475,27.0,177.0,70.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
PUR,Puerto Rico,2016 Summer,2016,2571.235,39,15,26,1.5,26.0,178.0,66.0,1,1,0,1,1,1,0,0,0.0,0.0,1.0
QAT,Qatar,2016 Summer,2016,1165.258,37,10,20,1.85,25.0,185.0,85.0,1,1,0,1,1,0,1,0,0.0,1.0,0.0
ROU,Romania,2016 Summer,2016,2491.589,95,15,62,1.532,27.0,176.0,68.0,1,1,0,1,16,4,2,10,0.625,0.125,0.25
RSA,South Africa,2016 Summer,2016,1421.591,131,15,69,1.899,24.0,177.0,70.0,1,1,0,1,22,2,6,14,0.636,0.273,0.091
SAM,Samoa,2016 Summer,2016,804.999,5,3,5,1.0,24.0,162.0,72.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SEY,Seychelles,2016 Summer,2016,928.761,10,6,10,1.0,23.0,174.5,66.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SMR,San Marino,2016 Summer,2016,644.656,4,2,3,1.333,33.0,169.5,69.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SRI,Sri Lanka,2016 Summer,2016,93.172,9,6,10,0.9,31.0,165.0,65.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SUI,Switzerland,2016 Summer,2016,988.466,102,17,80,1.275,26.0,176.0,67.5,1,1,0,1,11,6,3,2,0.182,0.273,0.545
SWE,Sweden,2016 Summer,2016,927.416,150,22,79,1.899,26.0,178.0,72.0,1,1,0,1,28,2,23,3,0.107,0.821,0.071
SYR,Syria,2016 Summer,2016,299.262,6,4,6,1.0,24.5,186.0,74.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
TOG,Togo,2016 Summer,2016,1416.84,1,1,1,1.0,17.0,158.0,53.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
UAE,United Arab Emirates,2016 Summer,2016,1437.781,11,6,10,1.1,27.0,174.0,73.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
USA,USA,2016 Summer,2016,2219.533,554,33,245,2.261,26.0,178.0,73.0,1,1,0,1,263,138,54,71,0.27,0.205,0.525
YEM,Yemen,2016 Summer,2016,16197.05,3,3,3,1.0,18.0,169.0,64.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
